,id,created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_screen_name,user_name,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count,negative,neutral,positive,sentiment_score,sentiment
8500,D8501,2022-07-06 09:33:47,get dunkin work,,[],[],0,2,,,1329903770113892354,cianaunfiltered,ciana :),445,236,5215,False,1035,0.0,1.0,0.0,0.0,neutral
8501,D8502,2022-07-06 09:30:05,ima get ga work proce stop dunkin forget ga,,[],[],1,2,,,481671873,_elizvbethh,queen ë 👸🏽,666,919,40649,False,67334,0.155,0.845,0.0,-0.296,negative
8502,D8503,2022-07-06 09:27:58,new detail man accus kill 7 illinoi independ day parad shoot scare chelsea dunkin feet away custom man strand 3rd floor cambridg fire sun back,WakeUpWithWale,"[19665244, 522544707, 160889265, 28630569]","['boston25', 'CatherineNews', 'VickiGrafWX', 'ksullivannews']",2,5,,,16012059,WaleAliyu,Wale Aliyu,1822,3939,4116,True,8008,0.248,0.752,0.0,-0.9042,negative
8503,D8504,2022-07-06 09:20:30,dont understand knew know russian link funni ukrainian dont vote uk elect z flatter keep onsid think brit pm would done differ,,"[1520766342198145028, 1480178879407038470, 15348883, 22776133, 143405324]","['peter_dunkin', 'Freddie_Galen', 'MrHarryCole', 'christopherhope', 'BWallaceMP']",0,0,1.520766342198145e+18,peter_dunkin,150777984,ianrobo1,Україна в моїй крові 🕎🇺🇦🇮🇪🏴󠁧󠁢󠁥󠁮󠁧󠁿🐶,3208,2505,76943,False,375343,0.0,0.857,0.143,0.7998,positive
8504,D8505,2022-07-06 09:12:52,huge underestim enorm popular uk ukrain moment,,"[150777984, 1480178879407038470, 15348883, 22776133, 143405324]","['ianrobo1', 'Freddie_Galen', 'MrHarryCole', 'christopherhope', 'BWallaceMP']",0,0,150777984.0,ianrobo1,1520766342198145028,peter_dunkin,Peter Dunkin,39,0,429,False,75,0.142,0.682,0.176,0.1531,positive
8505,D8506,2022-07-06 09:10:04,dunk provid keep name probabl long,,[],[],0,2,,,14354091,projo,Providence Journal,1376,127076,1605,True,132101,0.0,1.0,0.0,0.0,neutral
8506,D8507,2022-07-06 09:03:14,look like dunkin donut munchkin differ flavor,,[1463071332111773698],['themoonpics_'],0,0,1.4630713321117737e+18,themoonpics_,49588661,mypixie88,Milkyway🆔☀️🌻🐰,1223,115,87332,False,19011,0.0,0.737,0.263,0.3612,positive
8507,D8508,2022-07-06 08:53:17,get dunkin,,[509564171],['ColeStangler'],0,1,509564171.0,ColeStangler,2575336248,MchughJess,Jess McHugh,1758,4196,11860,True,513,0.0,1.0,0.0,0.0,neutral
8508,D8509,2022-07-06 08:52:52,big powder room energi,,[1221616437552472064],['dunkin_nyc'],0,2,1.221616437552472e+18,dunkin_nyc,193955784,cjnowlen,carol,424,369,53995,False,14089,0.0,0.704,0.296,0.2732,positive
8509,D8510,2022-07-06 08:52:31,dunkin donut,,[],[],0,0,,,843352682496577536,yer_bot,🗣Lauren !ebooks,21,29,5,False,249801,0.0,1.0,0.0,0.0,neutral
8510,D8511,2022-07-06 08:51:33,tote awesom platter sampler 72 extra goo gravi upon request minti portobello flamin cheezepocalypt goo goo wadz slam dunkin buffalo chimichangarito flamin blue racha heart attack fa heat ahz crunchiti crunch goo ultim grill cheezer,,[],[],0,0,,,983726681021071361,goofieri,Goo Fieri's Flaming Fiery Feedbucket,1,15,1,False,35990,0.135,0.64,0.225,0.6973,positive
8511,D8512,2022-07-06 08:39:36,dunkin flask blue just1n chapter24,SB19_JUSTIN StanWorld SB19 SW_SummerEvent,"[1514239093852766209, 1525337304004366336, 1006064993282842624, 1006064993282842624]","['Hahahaniyah_eun', 'pau_hotdog02', 'SB19Official', 'SB19Official']",9,1,1.5142390938527662e+18,Hahahaniyah_eun,1393894539115384833,CodeneraBelle,Belle Codenera🌛,1858,1532,8427,False,8122,0.0,1.0,0.0,0.0,neutral
8512,D8513,2022-07-06 08:38:51,guy manag surviv desert despit everi mirag great hang dunkin guy sick ass rhyme love yall next time come place,,"[1393951222822969347, 868956926, 1394045380547932160, 850171128]","['mahzamune', 'TheGreekDevin', 'wonderpuppy98', 'ChellariArt']",0,3,1.3939512228229693e+18,mahzamune,752937788434108416,BloodCell47,Chris,64,73,3385,False,3655,0.133,0.705,0.162,0.3612,positive
8513,D8514,2022-07-06 08:34:34,work dunkin donut put rutabaga foot,,[],[],0,0,,,727039238697443329,realbryn,Bryn Anderson,3,12,0,False,320107,0.0,1.0,0.0,0.0,neutral
8514,D8515,2022-07-06 08:28:52,drink dunkin coffe mean awak next 48 hour chz,,[],[],0,1,,,78166483,peejtaps,PEEJ,414,983,19367,False,144840,0.0,1.0,0.0,0.0,neutral
8515,D8516,2022-07-06 08:25:14,old crazi 2 he dunkin kid,,[3055818109],['ProdByWalkz'],0,0,3055818109.0,ProdByWalkz,253325722,Ghoost172,Emil Jespersen,113,12,171,False,343,0.156,0.844,0.0,-0.34,negative
8516,D8517,2022-07-06 08:13:35,dunhoo louisiana kitchen combin dunkin donut hooter popey delight chicken yet unrefin chickeni limit time chicken hooter strawberri,,[],[],0,0,,,1180505101116608513,CombinationFood,Combination Fast Food,2,1103,30,False,25197,0.068,0.789,0.143,0.4753,positive
8517,D8518,2022-07-06 08:10:16,polic search suspect chelsea shoot bullet narrowli miss dunkin custom,,[],[],0,0,,,713523037560111105,jeguru1,abhay kumar,441,411,35,False,464171,0.268,0.732,0.0,-0.5267,negative
8518,D8519,2022-07-06 08:07:01,dunkin donut dunkin donut dunkin donut dunkin donut dunkin donut dunkin donut dunkin donut dunkin donut dunkin donut dunkin donut dunkin donut dunkin donut dunkin donut dunkin donut,,[1143777035380301824],['martinuhrecky'],0,1,1.1437770353803018e+18,martinuhrecky,1364670486572126214,_bautig,Christian B,68,41,505,False,153,0.0,1.0,0.0,0.0,neutral
8519,D8520,2022-07-06 08:06:30,dont regret know peopl came life good peopl give happi bad peopl give experi shaira diaz dunkin,,[],[],0,0,1.3851939911848714e+18,mika_palisoc,1385193991184871427,mika_palisoc,Mika Palisoc,138,272,2085,False,16773,0.112,0.606,0.282,0.6522,positive
8520,D8521,2022-07-06 08:04:11,work area bad great area either dunkin across street drive thru go insid door everyday drive car across street get coffe,,[19060246],['jaronmc'],0,0,19060246.0,jaronmc,26045319,Lucie1003,Tammy Casanova 🇺🇦☮🙏❤,2103,757,83815,False,56160,0.131,0.834,0.035,-0.7443,negative
8521,D8522,2022-07-06 08:00:46,sign today volunt 2022 dunkin run,,[],[],0,0,,,3892240636,AlbanyJCC,Albany JCC,275,169,14,False,962,0.0,1.0,0.0,0.0,neutral
8522,D8523,2022-07-06 07:54:30,tasti wanda definit dunkin gal,,[],[],0,0,,,716365049,KookingKit,KookingKit,53,69,36,False,34128,0.0,0.722,0.278,0.4019,positive
8523,D8524,2022-07-06 07:53:44,nope dunkin coffe pl,,[],[],0,1,,,1450533521903140865,shfkahz,s🤎,41,12,2228,False,1637,0.234,0.766,0.0,-0.0572,negative
8524,D8525,2022-07-06 07:53:17,reportedli irish senat recognis russia ukrain genocid hope irish pm kyiv inform presid zelenskyy genocid bad enough ireland final send weapon ukrain defend,,[1537130875296563200],['JayinKyiv'],0,1,1.5371308752965632e+18,JayinKyiv,1520766342198145028,peter_dunkin,Peter Dunkin,39,0,429,False,75,0.13,0.815,0.055,-0.5719,negative
8525,D8526,2022-07-06 07:39:19,dunkin donut truli supertuna,yours_jin supertuna_jin moon_bts 방탄소년단진 JIN,"[1195501688964018176, 1367659127153913857, 335141638, 335141638]","['Jinniesbelle', 'SeokjinNiEkang', 'BTS_twt', 'BTS_twt']",6,2,1.1955016889640182e+18,Jinniesbelle,1108366076897710080,Akhiejin7,Kim Yam-Seok,63,43,41961,False,35963,0.0,0.524,0.476,0.5622,positive
8526,D8527,2022-07-06 07:23:31,show person never made mistak show person never anyth william rosenberg founder dunkin donut,,[],[],0,0,,,732648823785459712,tweetz789,tweets,86,134,28,False,1208074,0.0,0.927,0.073,0.2584,positive
