created_at,text,hashtags,user_mention_ids,user_mention_screen_names,retweet_count,favorite_count,in_reply_to_user_id,in_reply_to_screen_name,user_id,user_screen_name,user_name,user_friends_count,user_followers_count,user_favourites_count,user_verfied,user_statuses_count
2022-06-16 16:58:52+00:00,"this is why we shouldnt drive while looking on twitter if i wasnt in a dunkins drive thru i couldve dyed ,",[],[],[],0,1,,,1082089601160876035,jinnieskoo,☾아포방포⁷,229,260,65472,False,44113
2022-06-16 16:58:38+00:00, wtf n dont nobody want no damn bully,[],[3365989213],['1Likaaaaa_'],0,0,3365989213,1Likaaaaa_,165973387,stat_dunkin,WeAllWeGot,841,2106,14110,False,147439
2022-06-16 16:58:31+00:00,silent hill takes place in maine which is new england that means heather has probably been to massachusetts so true new england heather dunkin donuts fan heather lober ,[],[],[],0,1,,,1157540430231171072,Ieadpipe,creepy autism simulator,135,59,1831,False,2227
2022-06-16 16:57:38+00:00,"Took my grandpa to his appointment and went to Dunkin Donuts. Got some hash browns for breakfast but they were burnt, squishy, and falling apart. They remade them, same problem. I dont want to bother them a third time for a refund. Now I am sad and without hash browns :(",[],[],[],0,3,,,842200750025510913,RosezeleneErsa,Ersa,93,2470,4961,False,4866
2022-06-16 16:57:17+00:00,"My favorite kind of coffee and my first hot coffee that's from Dunkin Donuts in many, many moons! ,",[],[],[],0,0,,,1530395438087647232,2911anniemae,AnnieMae,113,2,58,False,48
2022-06-16 16:56:40+00:00,There's a special place in hell for the person who stole my Dunkin order ,[],[],[],0,0,,,1000895499698884608,Katie_Cakes_314,Katie the Unheard,54,9,2274,False,453
2022-06-16 16:54:30+00:00,them dunkin donut hash browns b so fucking good,[],[],[],1,8,,,2416573299,missb3have,☆,901,8643,24267,False,52841
2022-06-16 16:53:49+00:00,"just told my team I went to the restroom but really went to dunkin and now I really have to go to the bathroom ,",[],[],[],0,1,,,1302367904,colonicat12,SARTEP MIK,904,1061,20298,False,26355
2022-06-16 16:52:40+00:00,Big difference in the quality of service and products you find at each dunkin,[],[],[],0,0,,,1277739378299805696,MandelaJeffect,Jefferson,428,344,21705,False,57242
2022-06-16 16:52:14+00:00,"Your Ranked Team for Exposure and Safety Solutions! Download this presentation from our Slam Dunkin Lunch and Learn at , ,",['2022SOT'],[],[],0,0,,,374192908,SimulationsPlus,Simulations Plus,663,792,579,False,2739
2022-06-16 16:52:00+00:00,"How do ya get Dunkin to sell a hot cup of coffee that's not SO hot that you have to wait 20 mins to drink so you don't burn yourself? Ya dont, you just go somewhere better.",[],[24125495],['LaurHof11'],0,0,24125495,LaurHof11,1099020640554835970,CrustyPitaChip,Chip,563,251,26552,False,13302
2022-06-16 16:50:31+00:00,the dunkin cake batter syrup &gt;&gt;&gt;&gt;,[],[],[],0,1,,,950953271472087040,crlghdotcom,𝚌𝚊𝚛𝚕𝚎𝚒𝚐𝚑,133,102,11164,False,5976
2022-06-16 16:50:00+00:00,"Dunkin' Brands told a Florida federal court that law firm should not be allowed to represent a Philadelphia company suing it for trademark infringement because the firm represents another Dunkin' unit in a different case , ,",[],"[39820171, 2239633627]","['troutmanpepper', 'blakebrittain']",0,3,,,334944709,ReutersLegal,Reuters Legal,560,87249,119,True,104923
2022-06-16 16:47:35+00:00,why mfs at dunkin never wanna toast my bagel ,[],[],[],0,0,,,2453457323,Dgwilliams_,ScHoolboy DEE ™,449,457,17153,False,22465
2022-06-16 16:47:31+00:00,masshole-maxing to prepare for the celtics games tonight (wearing my bean boots and drinking a dunkin iced coffee),[],[],[],0,3,,,733471496,COINTELPR0ZAC,veronica,489,661,52105,False,8622
2022-06-16 16:47:17+00:00,"Wake Up Cape Cod wants to help you start your day the right way! Enter to win a $50 Dunkin gift card! ,",[],[],[],0,0,,,63755517,susan1215,Susan Smith,4998,2069,3574,False,154082
2022-06-16 16:46:45+00:00,Dunkin to start the road trip is the one exception,[],[42956737],['nfldraftscout'],0,0,42956737,nfldraftscout,51955316,aceofspades42,Brett Auriemma,841,763,391220,False,32288
2022-06-16 16:45:33+00:00,Nah he needs to spend a few years being passed around the yard and traded for Dunkin stix...,[],[70072956],['WiLLy_Whoo'],0,1,70072956,WiLLy_Whoo,2764768750,QuietMoneyshh,BringHomeBrittneyGriner,3281,605,21059,False,29408
2022-06-16 16:44:27+00:00,You might even say heruns on Dunkin ,[],"[19453134, 35681996]","['akruglov', 'chasebratton']",0,1,19453134,akruglov,1235287165829083138,wembleyleach,Wembley Leach,278,73,25770,False,2894
2022-06-16 16:43:15+00:00,convinced dunkin puts crack in their coffee,[],[],[],0,0,,,3148833690,Elvin_Rosa_,Rosa 🇵🇷,604,912,16805,False,3872
2022-06-16 16:43:14+00:00,im at dunkin donuts rn lol,[],[725778781185662978],['TimPlaysAGame'],0,1,725778781185662978,TimPlaysAGame,999803009893896192,Jean11447539,Squid Hero,153,34,6999,False,497
2022-06-16 16:42:35+00:00,Dunkin Donuts jus charged me for 50 cents for asking for NO ICE in my iced coffee and another 54 cents for asking to have a small cup of ice,[],[],[],0,0,,,1104139808,PatronaBabbyyyy,Patty w/the lil Cake💋,339,311,2144,False,4365
